date,county code,number of cold case,county name
2015-08-14,11110,384,Jongno
2015-08-15,11110,130,Jongno
2015-08-16,11110,112,Jongno
2015-08-17,11110,800,Jongno
2015-08-18,11110,548,Jongno
2015-08-19,11110,568,Jongno
2015-08-20,11110,578,Jongno
2015-08-21,11110,638,Jongno
2015-08-22,11110,451,Jongno
2015-08-23,11110,76,Jongno
2015-08-24,11110,891,Jongno
2015-08-25,11110,597,Jongno
2015-08-26,11110,677,Jongno
2015-08-27,11110,661,Jongno
2015-08-28,11110,720,Jongno
2015-08-29,11110,559,Jongno
2015-08-30,11110,80,Jongno
2015-08-31,11110,1052,Jongno
2015-09-01,11110,723,Jongno
2015-09-02,11110,660,Jongno
2015-09-03,11110,698,Jongno
2015-09-04,11110,817,Jongno
2015-09-05,11110,609,Jongno
2015-09-06,11110,120,Jongno
2015-09-07,11110,1203,Jongno
2015-09-08,11110,866,Jongno
2015-09-09,11110,864,Jongno
2015-09-10,11110,963,Jongno
2015-09-11,11110,907,Jongno
2015-09-12,11110,787,Jongno
2015-09-13,11110,121,Jongno
2015-09-14,11110,1320,Jongno
2015-09-15,11110,924,Jongno
2015-09-16,11110,930,Jongno
2015-09-17,11110,922,Jongno
2015-09-18,11110,1091,Jongno
2015-09-19,11110,774,Jongno
2015-09-20,11110,128,Jongno
2015-09-21,11110,1317,Jongno
2015-09-22,11110,932,Jongno
2015-09-23,11110,940,Jongno
2015-09-24,11110,1044,Jongno
2015-09-25,11110,1379,Jongno
2015-09-26,11110,154,Jongno
2015-09-27,11110,41,Jongno
2015-09-28,11110,111,Jongno
2015-09-29,11110,611,Jongno
2015-09-30,11110,1456,Jongno
2015-10-01,11110,842,Jongno
2015-10-02,11110,1046,Jongno
2015-10-03,11110,324,Jongno
2015-10-04,11110,122,Jongno
2015-10-05,11110,1456,Jongno
2015-10-06,11110,845,Jongno
2015-10-07,11110,848,Jongno
2015-10-08,11110,1038,Jongno
2015-10-09,11110,205,Jongno
2015-10-10,11110,863,Jongno
2015-10-11,11110,101,Jongno
2015-10-12,11110,1318,Jongno
2015-10-13,11110,856,Jongno
2015-10-14,11110,825,Jongno
2015-10-15,11110,866,Jongno
2015-10-16,11110,889,Jongno
2015-10-17,11110,711,Jongno
2015-10-18,11110,117,Jongno
2015-10-19,11110,1328,Jongno
2015-10-20,11110,822,Jongno
2015-10-21,11110,876,Jongno
2015-10-22,11110,854,Jongno
2015-10-23,11110,958,Jongno
2015-10-24,11110,695,Jongno
2015-10-25,11110,119,Jongno
2015-10-26,11110,1312,Jongno
2015-10-27,11110,898,Jongno
2015-10-28,11110,942,Jongno
2015-10-29,11110,983,Jongno
2015-10-30,11110,1069,Jongno
2015-10-31,11110,849,Jongno
2015-11-01,11110,131,Jongno
2015-11-02,11110,1616,Jongno
2015-11-03,11110,1009,Jongno
2015-11-04,11110,944,Jongno
2015-11-05,11110,996,Jongno
2015-11-06,11110,1036,Jongno
2015-11-07,11110,804,Jongno
2015-11-08,11110,132,Jongno
2015-11-09,11110,1416,Jongno
2015-11-10,11110,882,Jongno
2015-11-11,11110,950,Jongno
2015-11-12,11110,927,Jongno
2015-11-13,11110,942,Jongno
2015-11-14,11110,817,Jongno
2015-11-15,11110,102,Jongno
2015-11-16,11110,1366,Jongno
2015-11-17,11110,910,Jongno
2015-11-18,11110,868,Jongno
2015-11-19,11110,972,Jongno
2015-11-20,11110,1116,Jongno
2015-11-21,11110,799,Jongno
2015-11-22,11110,109,Jongno
2015-11-23,11110,1453,Jongno
2015-11-24,11110,1090,Jongno
2015-11-25,11110,1000,Jongno
2015-11-26,11110,1010,Jongno
2015-11-27,11110,1151,Jongno
2015-11-28,11110,893,Jongno
2015-11-29,11110,119,Jongno
2015-11-30,11110,1577,Jongno
2015-12-01,11110,1016,Jongno
2015-12-02,11110,987,Jongno
2015-12-03,11110,933,Jongno
2015-12-04,11110,1169,Jongno
2015-12-05,11110,941,Jongno
2015-12-06,11110,125,Jongno
2015-12-07,11110,1495,Jongno
2015-12-08,11110,1045,Jongno
2015-12-09,11110,1022,Jongno
2015-12-10,11110,1002,Jongno
2015-12-11,11110,1066,Jongno
2015-12-12,11110,886,Jongno
2015-12-13,11110,128,Jongno
2015-12-14,11110,1499,Jongno
2015-12-15,11110,1083,Jongno
2015-12-16,11110,1001,Jongno
2015-12-17,11110,1046,Jongno
2015-12-18,11110,1177,Jongno
2015-12-19,11110,927,Jongno
2015-12-20,11110,128,Jongno
2015-12-21,11110,1613,Jongno
2015-12-22,11110,1063,Jongno
2015-12-23,11110,1060,Jongno
2015-12-24,11110,1282,Jongno
2015-12-25,11110,119,Jongno
2015-12-26,11110,1190,Jongno
2015-12-27,11110,148,Jongno
2015-12-28,11110,1611,Jongno
2015-12-29,11110,1195,Jongno
2015-12-30,11110,1191,Jongno
2015-12-31,11110,1513,Jongno
2016-01-01,11110,35,Jongno
2016-01-02,11110,1034,Jongno
2016-01-03,11110,128,Jongno
2016-01-04,11110,1500,Jongno
2016-01-05,11110,1047,Jongno
2016-01-06,11110,1066,Jongno
2016-01-07,11110,1125,Jongno
2016-01-08,11110,1093,Jongno
2016-01-09,11110,811,Jongno
2016-01-10,11110,128,Jongno
2016-01-11,11110,1500,Jongno
2016-01-12,11110,1010,Jongno
2016-01-13,11110,908,Jongno
2016-01-14,11110,1012,Jongno
2016-01-15,11110,1113,Jongno
2016-01-16,11110,825,Jongno
2016-01-17,11110,96,Jongno
2016-01-18,11110,1302,Jongno
2016-01-19,11110,851,Jongno
2016-01-20,11110,911,Jongno
2016-01-21,11110,1011,Jongno
2016-01-22,11110,1046,Jongno
2016-01-23,11110,800,Jongno
2016-01-24,11110,99,Jongno
2016-01-25,11110,1412,Jongno
2016-01-26,11110,964,Jongno
2016-01-27,11110,1025,Jongno
2016-01-28,11110,1038,Jongno
2016-01-29,11110,1185,Jongno
2016-01-30,11110,906,Jongno
2016-01-31,11110,145,Jongno
2016-02-01,11110,1640,Jongno
2016-02-02,11110,1192,Jongno
2016-02-03,11110,1225,Jongno
2016-02-04,11110,1359,Jongno
2016-02-05,11110,1649,Jongno
2016-02-06,11110,1335,Jongno
2016-02-07,11110,153,Jongno
2016-02-08,11110,101,Jongno
2016-02-09,11110,228,Jongno
2016-02-10,11110,748,Jongno
2016-02-11,11110,2083,Jongno
2016-02-12,11110,1345,Jongno
2016-02-13,11110,1144,Jongno
2016-02-14,11110,168,Jongno
2016-02-15,11110,1658,Jongno
2016-02-16,11110,1127,Jongno
2016-02-17,11110,1074,Jongno
2016-02-18,11110,1064,Jongno
2016-02-19,11110,1211,Jongno
2016-02-20,11110,892,Jongno
2016-02-21,11110,132,Jongno
2016-02-22,11110,1573,Jongno
2016-02-23,11110,1049,Jongno
2016-02-24,11110,1032,Jongno
2016-02-25,11110,1075,Jongno
2016-02-26,11110,1166,Jongno
2016-02-27,11110,899,Jongno
2016-02-28,11110,112,Jongno
2016-02-29,11110,1500,Jongno
2016-03-01,11110,177,Jongno
2016-03-02,11110,1273,Jongno
2016-03-03,11110,971,Jongno
2016-03-04,11110,991,Jongno
2016-03-05,11110,848,Jongno
2016-03-06,11110,115,Jongno
2016-03-07,11110,1426,Jongno
2016-03-08,11110,953,Jongno
2016-03-09,11110,991,Jongno
